<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,240201,100000,276.07,276.2,275.93,276.12,309450
SBER,5,240201,100500,276.11,276.79,276.1,276.55,360970
SBER,5,240201,101000,276.55,276.75,276.46,276.49,224500
SBER,5,240201,101500,276.48,276.91,276.48,276.89,271960
SBER,5,240201,102000,276.89,277.12,276.76,277.07,587810
SBER,5,240201,102500,277.06,277.2,276.98,276.98,620310
SBER,5,240201,103000,276.98,277.08,276.85,276.92,434110
SBER,5,240201,103500,276.92,277.14,276.91,277.13,241090
SBER,5,240201,104000,277.13,277.45,277.13,277.36,396440
SBER,5,240201,104500,277.35,277.75,277.35,277.41,769290
SBER,5,240201,105000,277.4,277.48,277.04,277.29,372140
SBER,5,240201,105500,277.29,277.48,277.07,277.48,165780
SBER,5,240201,110000,277.48,277.5,277.31,277.42,336210
SBER,5,240201,110500,277.38,277.41,277.2,277.24,93690
SBER,5,240201,111000,277.24,277.3,277.18,277.28,84280
SBER,5,240201,111500,277.28,277.5,277.28,277.49,101630
SBER,5,240201,112000,277.49,277.5,277.32,277.46,121860
SBER,5,240201,112500,277.46,277.46,277.11,277.3,198850
SBER,5,240201,113000,277.32,277.32,277.19,277.25,128890
SBER,5,240201,113500,277.26,277.4,277.14,277.37,157690
SBER,5,240201,114000,277.37,277.42,277.29,277.3,82450
SBER,5,240201,114500,277.3,277.33,277.02,277.11,152670
SBER,5,240201,115000,277.11,277.13,277.01,277.1,78150
SBER,5,240201,115500,277.1,277.15,276.81,277.14,210680
SBER,5,240201,120000,277.14,277.15,276.82,277.07,98870
SBER,5,240201,120500,277.07,277.19,277.07,277.13,71950
SBER,5,240201,121000,277.14,277.15,277,277.01,109730
SBER,5,240201,121500,277.01,277.09,276.95,277.06,78580
SBER,5,240201,122000,277.06,277.29,277,277.03,194110
SBER,5,240201,122500,277.03,277.11,276.7,277,193570
SBER,5,240201,123000,276.99,277,276.94,276.95,82980
SBER,5,240201,123500,276.94,277.01,276.94,277,46940
SBER,5,240201,124000,277.01,277.2,277,277.2,34610
SBER,5,240201,124500,277.2,277.25,277.05,277.2,56240
SBER,5,240201,125000,277.19,277.2,277,277.19,42660
SBER,5,240201,125500,277.19,277.2,276.99,277,56640
SBER,5,240201,130000,277,277.09,276.91,277.06,63560
SBER,5,240201,130500,277.07,277.07,277.02,277.07,61650
SBER,5,240201,131000,277.06,277.08,276.98,277.07,58080
SBER,5,240201,131500,277.08,277.11,277.07,277.11,27930
SBER,5,240201,132000,277.11,277.13,277.02,277.08,51930
SBER,5,240201,132500,277.05,277.09,276.93,277,71780
SBER,5,240201,133000,277,277.08,276.92,277.08,106090
SBER,5,240201,133500,277.06,277.06,276.95,276.95,46240
SBER,5,240201,134000,276.95,276.98,276.78,276.98,90070
SBER,5,240201,134500,276.97,276.97,276.79,276.82,75920
SBER,5,240201,135000,276.79,276.83,276.65,276.69,121620
SBER,5,240201,135500,276.68,276.8,276.56,276.8,132040
SBER,5,240201,140000,276.8,276.83,276.76,276.83,60110
SBER,5,240201,140500,276.82,276.83,276.68,276.73,170730
SBER,5,240201,141000,276.73,276.83,276.6,276.83,68580
SBER,5,240201,141500,276.82,276.83,276.71,276.74,44300
SBER,5,240201,142000,276.73,276.83,276.62,276.75,63930
SBER,5,240201,142500,276.74,276.8,276.66,276.8,75750
SBER,5,240201,143000,276.78,276.83,276.76,276.82,48010
SBER,5,240201,143500,276.81,276.83,276.64,276.81,142540
SBER,5,240201,144000,276.82,276.83,276.8,276.83,40970
SBER,5,240201,144500,276.82,276.83,276.79,276.8,46300
SBER,5,240201,145000,276.79,276.83,276.75,276.83,77160
SBER,5,240201,145500,276.83,276.83,276.77,276.78,41640
SBER,5,240201,150000,276.77,276.83,276.72,276.8,86350
SBER,5,240201,150500,276.8,276.81,276.77,276.79,19300
SBER,5,240201,151000,276.77,276.82,276.71,276.81,41060
SBER,5,240201,151500,276.8,276.83,276.75,276.76,22340
SBER,5,240201,152000,276.76,276.82,276.57,276.82,190890
SBER,5,240201,152500,276.83,276.83,276.55,276.64,263620
SBER,5,240201,153000,276.63,276.83,276.62,276.76,69560
SBER,5,240201,153500,276.77,276.8,276.72,276.75,59920
SBER,5,240201,154000,276.75,276.78,276.56,276.7,105020
SBER,5,240201,154500,276.7,276.7,276.68,276.68,123570
SBER,5,240201,155000,276.69,276.69,276.55,276.57,127560
SBER,5,240201,155500,276.57,276.65,276.55,276.56,102350
SBER,5,240201,160000,276.58,276.59,276.52,276.55,52890
SBER,5,240201,160500,276.56,276.57,276.46,276.47,157590
SBER,5,240201,161000,276.47,276.64,276.31,276.64,202380
SBER,5,240201,161500,276.63,276.7,276.62,276.68,86850
SBER,5,240201,162000,276.68,276.7,276.63,276.69,36800
SBER,5,240201,162500,276.68,276.7,276.68,276.69,56360
SBER,5,240201,163000,276.7,276.8,276.68,276.78,42870
SBER,5,240201,163500,276.79,276.83,276.7,276.8,39420
SBER,5,240201,164000,276.8,276.81,276.6,276.78,62550
SBER,5,240201,164500,276.78,276.83,276.72,276.74,30710
SBER,5,240201,165000,276.74,276.83,276.74,276.8,37210
SBER,5,240201,165500,276.8,276.81,276.63,276.71,26710
SBER,5,240201,170000,276.69,276.72,276.53,276.6,76720
SBER,5,240201,170500,276.61,276.75,276.45,276.5,53670
SBER,5,240201,171000,276.53,276.65,276.51,276.57,28020
SBER,5,240201,171500,276.59,276.75,276.54,276.63,49460
SBER,5,240201,172000,276.64,276.7,276.39,276.47,109630
SBER,5,240201,172500,276.47,276.47,276.31,276.44,97370
SBER,5,240201,173000,276.44,276.57,276.31,276.48,55450
SBER,5,240201,173500,276.47,276.65,276.47,276.6,55680
SBER,5,240201,174000,276.6,276.69,276.58,276.64,29620
SBER,5,240201,174500,276.64,276.75,276.63,276.74,24930
SBER,5,240201,175000,276.73,276.79,276.59,276.71,67850
SBER,5,240201,175500,276.7,276.74,276.64,276.71,34010
SBER,5,240201,180000,276.71,276.79,276.69,276.77,51050
SBER,5,240201,180500,276.76,276.8,276.68,276.76,89670
SBER,5,240201,181000,276.76,276.79,276.75,276.78,26930
SBER,5,240201,181500,276.79,276.83,276.78,276.83,64910
SBER,5,240201,182000,276.83,276.92,276.82,276.91,181230
SBER,5,240201,182500,276.91,276.92,276.64,276.66,55550
SBER,5,240201,183000,276.66,276.86,276.45,276.55,116160
SBER,5,240201,183500,276.51,276.59,276.31,276.35,171020
SBER,5,240201,184500,277,277,277,277,1008610
SBER,5,240201,190000,276.82,276.82,276.82,276.82,13780
SBER,5,240201,190500,276.88,276.88,276.68,276.82,101270
SBER,5,240201,191000,276.81,276.81,276.72,276.74,87500
SBER,5,240201,191500,276.75,276.8,276.72,276.75,48600
SBER,5,240201,192000,276.75,276.84,276.74,276.8,20600
SBER,5,240201,192500,276.81,276.85,276.8,276.8,38230
SBER,5,240201,193000,276.83,276.85,276.8,276.82,19830
SBER,5,240201,193500,276.82,276.84,276.8,276.82,21700
SBER,5,240201,194000,276.82,276.84,276.8,276.81,40270
SBER,5,240201,194500,276.81,277,276.8,276.99,80080
SBER,5,240201,195000,277,277.07,276.8,276.82,68500
SBER,5,240201,195500,276.82,276.91,276.82,276.88,14270
SBER,5,240201,200000,276.88,276.93,276.8,276.82,33640
SBER,5,240201,200500,276.82,276.91,276.81,276.91,15100
SBER,5,240201,201000,276.91,276.91,276.85,276.91,26070
SBER,5,240201,201500,276.86,276.91,276.83,276.85,11700
SBER,5,240201,202000,276.85,276.85,276.81,276.84,8760
SBER,5,240201,202500,276.83,276.84,276.8,276.83,39060
SBER,5,240201,203000,276.84,276.87,276.8,276.81,17970
SBER,5,240201,203500,276.81,276.88,276.81,276.86,8630
SBER,5,240201,204000,276.87,276.89,276.83,276.83,17790
SBER,5,240201,204500,276.83,276.89,276.8,276.8,22890
SBER,5,240201,205000,276.8,276.82,276.8,276.81,90730
SBER,5,240201,205500,276.8,276.83,276.8,276.82,4420
SBER,5,240201,210000,276.81,276.82,276.8,276.81,109010
SBER,5,240201,210500,276.8,276.82,276.8,276.82,96600
SBER,5,240201,211000,276.82,276.82,276.7,276.71,111150
SBER,5,240201,211500,276.71,276.74,276.7,276.7,26320
SBER,5,240201,212000,276.71,276.78,276.7,276.77,23940
SBER,5,240201,212500,276.72,276.89,276.7,276.83,67860
SBER,5,240201,213000,276.83,276.89,276.81,276.88,23080
SBER,5,240201,213500,276.88,276.88,276.74,276.83,37230
SBER,5,240201,214000,276.85,276.85,276.76,276.82,6300
SBER,5,240201,214500,276.82,276.83,276.8,276.82,12910
SBER,5,240201,215000,276.82,276.82,276.8,276.81,34970
SBER,5,240201,215500,276.81,276.82,276.78,276.79,14000
SBER,5,240201,220000,276.79,276.8,276.76,276.79,8110
SBER,5,240201,220500,276.79,276.81,276.75,276.79,11040
SBER,5,240201,221000,276.78,276.81,276.7,276.7,15900
SBER,5,240201,221500,276.7,276.75,276.7,276.75,39580
SBER,5,240201,222000,276.74,276.75,276.7,276.71,3840
SBER,5,240201,222500,276.7,276.78,276.7,276.73,13600
SBER,5,240201,223000,276.71,276.77,276.71,276.77,8480
SBER,5,240201,223500,276.77,276.78,276.72,276.77,10420
SBER,5,240201,224000,276.77,276.8,276.76,276.77,35330
SBER,5,240201,224500,276.79,276.8,276.77,276.79,7180
SBER,5,240201,225000,276.79,276.8,276.77,276.8,13150
SBER,5,240201,225500,276.8,276.8,276.7,276.76,16400
SBER,5,240201,230000,276.75,276.76,276.7,276.71,5910
SBER,5,240201,230500,276.71,276.74,276.7,276.73,23040
SBER,5,240201,231000,276.73,276.78,276.7,276.78,41570
SBER,5,240201,231500,276.71,276.98,276.71,276.81,121710
SBER,5,240201,232000,276.94,276.94,276.85,276.9,4730
SBER,5,240201,232500,276.91,276.92,276.85,276.85,8560
SBER,5,240201,233000,276.85,276.93,276.85,276.91,29430
SBER,5,240201,233500,276.91,276.93,276.8,276.88,34100
SBER,5,240201,234000,276.9,276.96,276.85,276.89,187370
SBER,5,240201,234500,276.95,276.97,276.86,276.86,41340
SBER,5,240202,100000,277.01,277.3,276.98,277.05,525890
SBER,5,240202,100500,277.05,277.14,276.8,276.91,188630
SBER,5,240202,101000,276.9,276.92,276.71,276.83,179260
SBER,5,240202,101500,276.82,276.84,276.51,276.74,267380
SBER,5,240202,102000,276.74,276.79,276.53,276.65,143090
SBER,5,240202,102500,276.66,277,276.58,276.96,127830
SBER,5,240202,103000,276.96,277,276.81,276.91,73060
SBER,5,240202,103500,276.91,276.92,276.8,276.86,49720
SBER,5,240202,104000,276.86,276.92,276.8,276.88,72260
SBER,5,240202,104500,276.87,276.89,276,276.42,496140
SBER,5,240202,105000,276.43,276.7,276.11,276.63,178500
SBER,5,240202,105500,276.63,276.71,276.37,276.44,142230
SBER,5,240202,110000,276.44,276.5,276.2,276.33,200570
SBER,5,240202,110500,276.33,276.37,276.06,276.26,304670
SBER,5,240202,111000,276.26,276.33,276.12,276.3,208210
SBER,5,240202,111500,276.3,276.4,276.29,276.4,132360
SBER,5,240202,112000,276.4,276.47,276.32,276.35,84090
SBER,5,240202,112500,276.31,276.37,276.2,276.26,140470
SBER,5,240202,113000,276.21,276.75,276.2,276.42,158110
SBER,5,240202,113500,276.41,276.88,276.41,276.73,132330
SBER,5,240202,114000,276.75,276.77,276.55,276.69,56330
SBER,5,240202,114500,276.69,276.7,276.57,276.69,59970
SBER,5,240202,115000,276.68,276.69,276.43,276.54,169040
SBER,5,240202,115500,276.55,276.69,276.52,276.6,61170
SBER,5,240202,120000,276.61,276.64,276.3,276.39,80200
SBER,5,240202,120500,276.4,276.69,276.34,276.68,111570
SBER,5,240202,121000,276.69,276.79,276.66,276.79,240070
SBER,5,240202,121500,276.79,276.79,276.65,276.76,53180
SBER,5,240202,122000,276.75,276.78,276.65,276.67,64730
SBER,5,240202,122500,276.67,276.78,276.58,276.63,63740
SBER,5,240202,123000,276.63,276.71,276.42,276.51,65170
SBER,5,240202,123500,276.51,276.59,276.42,276.53,92900
SBER,5,240202,124000,276.51,276.54,276.43,276.47,52260
SBER,5,240202,124500,276.51,276.66,276.47,276.6,66470
SBER,5,240202,125000,276.59,276.65,276.42,276.5,72070
SBER,5,240202,125500,276.48,276.52,276.34,276.51,67550
SBER,5,240202,130000,276.52,276.52,276.48,276.51,84690
SBER,5,240202,130500,276.51,276.52,276.5,276.5,83880
SBER,5,240202,131000,276.52,276.52,276.5,276.52,78470
SBER,5,240202,131500,276.52,276.52,276.5,276.51,74970
SBER,5,240202,132000,276.52,276.52,276.4,276.41,110820
SBER,5,240202,132500,276.42,276.52,276.27,276.51,285050
SBER,5,240202,133000,276.51,276.52,276.35,276.5,34500
SBER,5,240202,133500,276.5,276.52,276.47,276.51,36240
SBER,5,240202,134000,276.51,276.52,276.51,276.52,80930
SBER,5,240202,134500,276.52,276.52,276.51,276.52,67160
SBER,5,240202,135000,276.51,276.62,276.51,276.59,113710
SBER,5,240202,135500,276.58,276.59,276.5,276.59,97670
SBER,5,240202,140000,276.51,276.59,276.5,276.58,30800
SBER,5,240202,140500,276.55,276.59,276.5,276.5,94940
SBER,5,240202,141000,276.51,276.59,276.5,276.59,47970
SBER,5,240202,141500,276.54,276.59,276.52,276.59,224320
SBER,5,240202,142000,276.59,276.59,276.5,276.57,50840
SBER,5,240202,142500,276.57,276.59,276.53,276.56,141170
SBER,5,240202,143000,276.56,276.59,276.54,276.59,55920
SBER,5,240202,143500,276.58,276.59,276.57,276.58,120360
SBER,5,240202,144000,276.59,276.61,276.58,276.61,108040
SBER,5,240202,144500,276.61,276.62,276.58,276.6,108410
SBER,5,240202,145000,276.6,276.69,276.6,276.69,51980
SBER,5,240202,145500,276.68,276.76,276.68,276.74,64000
SBER,5,240202,150000,276.74,276.75,276.66,276.7,34160
SBER,5,240202,150500,276.69,276.72,276.46,276.64,96090
SBER,5,240202,151000,276.58,276.7,276.53,276.57,68170
SBER,5,240202,151500,276.58,276.66,276.55,276.6,30500
SBER,5,240202,152000,276.6,276.62,276.55,276.58,57760
SBER,5,240202,152500,276.58,276.59,276.52,276.57,32590
SBER,5,240202,153000,276.53,276.6,276.52,276.55,31830
SBER,5,240202,153500,276.55,276.6,276.5,276.54,96730
SBER,5,240202,154000,276.58,276.6,276.55,276.6,79690
SBER,5,240202,154500,276.59,276.6,276.5,276.55,60610
SBER,5,240202,155000,276.56,276.56,276.45,276.52,30760
SBER,5,240202,155500,276.52,276.55,276.38,276.39,69800
SBER,5,240202,160000,276.39,276.43,276.32,276.43,35340
SBER,5,240202,160500,276.43,276.5,276.42,276.5,38550
SBER,5,240202,161000,276.5,276.55,276.49,276.54,49090
SBER,5,240202,161500,276.53,276.6,276.53,276.54,71540
SBER,5,240202,162000,276.54,276.56,276.53,276.53,32710
SBER,5,240202,162500,276.56,276.59,276.53,276.55,20810
SBER,5,240202,163000,276.55,276.6,276.53,276.54,35210
SBER,5,240202,163500,276.54,276.6,276.53,276.59,50840
SBER,5,240202,164000,276.59,276.59,276.53,276.55,20310
SBER,5,240202,164500,276.55,276.6,276.54,276.6,82310
SBER,5,240202,165000,276.6,276.66,276.56,276.65,198180
SBER,5,240202,165500,276.64,276.74,276.64,276.73,225570
SBER,5,240202,170000,276.74,276.82,276.71,276.81,204020
SBER,5,240202,170500,276.81,276.89,276.64,276.66,138030
SBER,5,240202,171000,276.66,276.67,276.59,276.66,32400
SBER,5,240202,171500,276.65,276.67,276.48,276.51,98710
SBER,5,240202,172000,276.51,276.6,276.48,276.56,22420
SBER,5,240202,172500,276.56,276.6,276.48,276.54,39370
SBER,5,240202,173000,276.54,276.65,276.54,276.61,32730
SBER,5,240202,173500,276.61,276.64,276.57,276.63,41080
SBER,5,240202,174000,276.63,276.65,276.57,276.63,22490
SBER,5,240202,174500,276.63,276.65,276.5,276.6,35780
SBER,5,240202,175000,276.61,276.66,276.56,276.66,46060
SBER,5,240202,175500,276.65,276.66,276.57,276.61,28820
SBER,5,240202,180000,276.62,276.67,276.57,276.58,63810
SBER,5,240202,180500,276.59,276.59,276.46,276.5,71130
SBER,5,240202,181000,276.5,276.56,276.49,276.5,26780
SBER,5,240202,181500,276.5,276.62,276.47,276.61,80760
SBER,5,240202,182000,276.61,276.67,276.47,276.59,146090
SBER,5,240202,182500,276.6,276.67,276.59,276.64,66070
SBER,5,240202,183000,276.61,276.67,276.6,276.64,36860
SBER,5,240202,183500,276.62,276.65,276.52,276.59,72660
SBER,5,240202,184500,276.51,276.51,276.51,276.51,169450
SBER,5,240202,190000,276.51,276.51,276.51,276.51,3020
SBER,5,240202,190500,276.51,276.73,276.51,276.6,48130
SBER,5,240202,191000,276.65,276.67,276.53,276.6,27680
SBER,5,240202,191500,276.6,276.63,276.53,276.53,29650
SBER,5,240202,192000,276.54,276.6,276.52,276.59,14630
SBER,5,240202,192500,276.59,276.59,276.53,276.53,14060
SBER,5,240202,193000,276.57,276.6,276.53,276.59,32630
SBER,5,240202,193500,276.59,276.6,276.56,276.58,24050
SBER,5,240202,194000,276.58,276.59,276.53,276.58,19150
SBER,5,240202,194500,276.58,276.59,276.53,276.58,15050
SBER,5,240202,195000,276.58,276.6,276.54,276.58,27950
SBER,5,240202,195500,276.57,276.6,276.56,276.59,22610
SBER,5,240202,200000,276.59,276.6,276.58,276.6,7150
SBER,5,240202,200500,276.6,276.62,276.59,276.62,47210
SBER,5,240202,201000,276.61,276.63,276.59,276.62,16900
SBER,5,240202,201500,276.63,276.67,276.62,276.62,31560
SBER,5,240202,202000,276.63,276.66,276.59,276.61,16640
SBER,5,240202,202500,276.59,276.64,276.56,276.64,27480
SBER,5,240202,203000,276.61,276.64,276.56,276.58,15610
SBER,5,240202,203500,276.58,276.73,276.52,276.72,137170
SBER,5,240202,204000,276.7,276.72,276.5,276.54,191610
SBER,5,240202,204500,276.6,276.62,276.5,276.52,13200
SBER,5,240202,205000,276.52,276.54,276.5,276.5,12570
SBER,5,240202,205500,276.5,276.54,276.5,276.54,32370
SBER,5,240202,210000,276.5,276.58,276.5,276.58,16880
SBER,5,240202,210500,276.55,276.6,276.55,276.59,17660
SBER,5,240202,211000,276.6,276.6,276.57,276.57,7010
SBER,5,240202,211500,276.58,276.6,276.57,276.58,9810
SBER,5,240202,212000,276.58,276.59,276.5,276.57,21160
SBER,5,240202,212500,276.56,276.6,276.51,276.56,16180
SBER,5,240202,213000,276.57,276.6,276.53,276.6,13280
SBER,5,240202,213500,276.6,276.6,276.54,276.59,9170
SBER,5,240202,214000,276.58,276.59,276.58,276.59,11700
SBER,5,240202,214500,276.58,276.59,276.54,276.57,8930
SBER,5,240202,215000,276.56,276.58,276.55,276.58,21800
SBER,5,240202,215500,276.58,276.59,276.55,276.56,55340
SBER,5,240202,220000,276.57,276.6,276.51,276.52,33860
SBER,5,240202,220500,276.53,276.59,276.52,276.57,32430
SBER,5,240202,221000,276.59,276.59,276.56,276.58,11140
SBER,5,240202,221500,276.59,276.59,276.56,276.59,4930
SBER,5,240202,222000,276.58,276.59,276.57,276.57,5770
SBER,5,240202,222500,276.59,276.6,276.57,276.6,13230
SBER,5,240202,223000,276.57,276.6,276.57,276.6,4950
SBER,5,240202,223500,276.6,276.6,276.56,276.6,10080
SBER,5,240202,224000,276.6,276.6,276.5,276.6,179400
SBER,5,240202,224500,276.6,276.6,276.5,276.59,22870
SBER,5,240202,225000,276.59,276.59,276.52,276.57,6750
SBER,5,240202,225500,276.58,276.6,276.52,276.54,27580
SBER,5,240202,230000,276.52,276.55,276.52,276.55,6260
SBER,5,240202,230500,276.54,276.55,276.52,276.54,14150
SBER,5,240202,231000,276.54,276.54,276.5,276.53,11310
SBER,5,240202,231500,276.51,276.53,276.5,276.51,166220
SBER,5,240202,232000,276.52,276.52,276.5,276.5,54060
SBER,5,240202,232500,276.51,276.54,276.42,276.42,135370
SBER,5,240202,233000,276.44,276.7,276.44,276.65,166320
SBER,5,240202,233500,276.66,276.74,276.65,276.73,74990
SBER,5,240202,234000,276.73,276.8,276.66,276.7,102530
SBER,5,240202,234500,276.74,276.87,276.6,276.74,114530
SBER,5,240205,100000,276.94,277.79,276.9,277.61,775740
SBER,5,240205,100500,277.6,277.94,277.5,277.85,378080
SBER,5,240205,101000,277.85,277.85,277.35,277.5,252930
SBER,5,240205,101500,277.5,277.79,277.5,277.79,169590
SBER,5,240205,102000,277.78,277.89,277.67,277.78,219910
SBER,5,240205,102500,277.77,277.77,277.32,277.43,148110
SBER,5,240205,103000,277.47,277.85,277.41,277.84,225400
SBER,5,240205,103500,277.84,278,277.83,277.85,437210
SBER,5,240205,104000,277.85,277.9,277.08,277.2,307810
SBER,5,240205,104500,277.19,277.33,276.9,277.3,297380
SBER,5,240205,105000,277.31,277.47,277.23,277.41,134760
SBER,5,240205,105500,277.41,277.6,277.4,277.41,236810
SBER,5,240205,110000,277.4,277.77,277.4,277.69,106870
SBER,5,240205,110500,277.69,278,277.4,277.59,554460
SBER,5,240205,111000,277.59,278.23,277.59,278.23,244630
SBER,5,240205,111500,278.23,278.4,278.17,278.27,345560
SBER,5,240205,112000,278.28,278.57,278.27,278.51,444770
SBER,5,240205,112500,278.51,278.52,278.27,278.27,334290
SBER,5,240205,113000,278.28,278.28,278.03,278.07,663220
SBER,5,240205,113500,278.09,278.1,277.86,277.99,205580
SBER,5,240205,114000,278,278.1,277.97,278.1,161750
SBER,5,240205,114500,278.1,278.1,277.83,277.86,127670
SBER,5,240205,115000,277.85,277.94,277.8,277.9,155350
SBER,5,240205,115500,277.89,278,277.85,277.9,61770
SBER,5,240205,120000,277.9,278.02,277.82,277.83,111800
SBER,5,240205,120500,277.83,278.1,277.82,278.07,69230
SBER,5,240205,121000,278.1,278.2,277.92,278.18,115220
SBER,5,240205,121500,278.17,278.37,278.17,278.19,199030
SBER,5,240205,122000,278.19,278.19,277.89,277.89,84200
SBER,5,240205,122500,277.9,278,277.8,278,100440
SBER,5,240205,123000,278,278.14,277.99,278.14,49980
SBER,5,240205,123500,278.14,278.14,278.11,278.13,44090
SBER,5,240205,124000,278.14,278.14,278,278,124210
SBER,5,240205,124500,278,278.01,277.89,277.9,31190
SBER,5,240205,125000,277.9,278,277.89,277.99,52480
SBER,5,240205,125500,277.99,278,277.86,277.89,72050
SBER,5,240205,130000,277.9,277.9,277.8,277.87,107520
SBER,5,240205,130500,277.87,277.88,277.62,277.62,114300
SBER,5,240205,131000,277.66,277.7,277.63,277.7,90380
SBER,5,240205,131500,277.7,277.7,277.68,277.68,97660
SBER,5,240205,132000,277.69,277.88,277.68,277.87,80340
SBER,5,240205,132500,277.87,277.9,277.87,277.89,51970
SBER,5,240205,133000,277.89,277.89,277.7,277.71,96640
SBER,5,240205,133500,277.71,277.82,277.7,277.77,39040
SBER,5,240205,134000,277.8,277.98,277.8,277.97,30930
SBER,5,240205,134500,277.96,277.96,277.85,277.94,65870
SBER,5,240205,135000,277.95,277.98,277.88,277.96,40380
SBER,5,240205,135500,277.96,278.14,277.96,278.13,150100
SBER,5,240205,140000,278.13,278.14,277.81,278,67120
SBER,5,240205,140500,278,278.2,277.94,278.12,157300
SBER,5,240205,141000,278.17,278.19,277.77,277.77,128760
SBER,5,240205,141500,277.78,277.81,277.73,277.74,27170
SBER,5,240205,142000,277.75,277.83,277.73,277.74,43860
SBER,5,240205,142500,277.74,277.83,277.73,277.82,55780
SBER,5,240205,143000,277.81,277.82,277.72,277.79,33220
SBER,5,240205,143500,277.79,277.79,277.7,277.71,51770
SBER,5,240205,144000,277.7,277.99,277.7,277.98,46680
SBER,5,240205,144500,277.99,277.99,277.78,277.78,51450
SBER,5,240205,145000,277.8,277.87,277.7,277.73,76950
SBER,5,240205,145500,277.74,277.88,277.73,277.87,29210
SBER,5,240205,150000,277.87,277.88,277.78,277.81,32170
SBER,5,240205,150500,277.82,277.85,277.78,277.81,30720
SBER,5,240205,151000,277.81,277.81,277.79,277.8,28270
SBER,5,240205,151500,277.8,277.8,277.7,277.71,74620
SBER,5,240205,152000,277.71,277.71,277.57,277.57,132670
SBER,5,240205,152500,277.56,277.61,277.43,277.61,213060
SBER,5,240205,153000,277.61,277.61,277.51,277.61,40090
SBER,5,240205,153500,277.6,277.74,277.6,277.68,45560
SBER,5,240205,154000,277.68,277.7,277.66,277.67,21650
SBER,5,240205,154500,277.68,277.72,277.65,277.72,28530
SBER,5,240205,155000,277.71,277.74,277.6,277.72,57940
SBER,5,240205,155500,277.7,277.72,277.5,277.53,122610
SBER,5,240205,160000,277.53,277.54,277.45,277.48,104480
SBER,5,240205,160500,277.48,277.53,277.36,277.36,215610
SBER,5,240205,161000,277.36,277.49,277.26,277.46,152470
SBER,5,240205,161500,277.45,277.45,277.3,277.34,115740
SBER,5,240205,162000,277.31,277.34,277.07,277.1,246670
SBER,5,240205,162500,277.1,277.23,277.07,277.13,138480
SBER,5,240205,163000,277.13,277.14,277.07,277.14,118310
SBER,5,240205,163500,277.14,277.15,277.09,277.14,73990
SBER,5,240205,164000,277.14,277.15,277.13,277.15,105420
SBER,5,240205,164500,277.15,277.15,277.13,277.15,86500
SBER,5,240205,165000,277.15,277.2,277.14,277.2,249950
SBER,5,240205,165500,277.2,277.39,277.1,277.3,186570
SBER,5,240205,170000,277.31,277.6,277.27,277.55,250230
SBER,5,240205,170500,277.55,277.62,277.48,277.49,112430
SBER,5,240205,171000,277.49,277.58,277.48,277.55,93490
SBER,5,240205,171500,277.56,277.82,277.56,277.8,80350
SBER,5,240205,172000,277.8,277.81,277.62,277.67,99650
SBER,5,240205,172500,277.68,277.71,277.67,277.71,22630
SBER,5,240205,173000,277.68,277.84,277.68,277.84,101860
SBER,5,240205,173500,277.83,277.99,277.82,277.99,88010
SBER,5,240205,174000,277.99,278,277.77,277.87,307350
SBER,5,240205,174500,277.87,278.17,277.86,277.98,221190
SBER,5,240205,175000,277.99,278.11,277.98,278.11,36730
SBER,5,240205,175500,278.09,278.15,278.08,278.15,69170
SBER,5,240205,180000,278.15,278.15,277.95,277.97,101460
SBER,5,240205,180500,277.98,277.98,277.94,277.96,42540
SBER,5,240205,181000,277.96,277.99,277.9,277.99,80300
SBER,5,240205,181500,277.96,277.98,277.72,277.72,99970
SBER,5,240205,182000,277.72,277.87,277.7,277.83,86360
SBER,5,240205,182500,277.83,277.83,277.67,277.67,33590
SBER,5,240205,183000,277.67,277.67,277.58,277.58,28480
SBER,5,240205,183500,277.59,277.76,277.54,277.76,121020
SBER,5,240205,184500,277.26,277.26,277.26,277.26,359630
SBER,5,240205,190000,277.68,277.68,277.68,277.68,11310
SBER,5,240205,190500,277.65,277.65,277.34,277.49,61180
SBER,5,240205,191000,277.47,277.48,277.34,277.48,19620
SBER,5,240205,191500,277.47,277.6,277.47,277.57,30330
SBER,5,240205,192000,277.57,277.58,277.41,277.53,21880
SBER,5,240205,192500,277.5,277.55,277.5,277.5,13770
SBER,5,240205,193000,277.54,277.59,277.51,277.59,27200
SBER,5,240205,193500,277.59,277.65,277.58,277.63,16320
SBER,5,240205,194000,277.64,277.67,277.61,277.67,22320
SBER,5,240205,194500,277.67,277.69,277.66,277.68,41220
SBER,5,240205,195000,277.69,277.76,277.69,277.73,55540
SBER,5,240205,195500,277.73,277.76,277.71,277.74,12940
SBER,5,240205,200000,277.74,277.76,277.74,277.74,16580
SBER,5,240205,200500,277.76,277.76,277.68,277.73,13730
SBER,5,240205,201000,277.69,277.76,277.68,277.76,19090
SBER,5,240205,201500,277.76,277.76,277.75,277.76,5470
SBER,5,240205,202000,277.75,277.76,277.75,277.76,21330
SBER,5,240205,202500,277.76,277.76,277.75,277.76,2240
SBER,5,240205,203000,277.76,277.77,277.75,277.77,27390
SBER,5,240205,203500,277.76,277.77,277.75,277.75,17670
